NOME_PRODUTO;PRINCIPIO_ATIVO;EMPRESA;CLASSE_TERAPEUTICA;NUMERO_REGISTRO
COLEDUE R;EZETIMIBA + ROSUVASTATINA CÁLCICA;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ANTILIPEMICOS;178170923
EMBO;APIXABANA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;AGENTES ANTITROMBÓTICOS;109740353
NOXX;ENOXAPARINA SÓDICA;58430828000160 - BLAU FARMACÊUTICA S.A.;ANTITROMBOTICO;116370175
ROZUNI;ROSUVASTATINA CÁLCICA;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ANTILIPEMICOS;178170924
SETH;CLORIDRATO DE BUPROPIONA;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ANTITABAGICO;104971490
SLIPDEX;CLORIDRATO DE DEXMEDETOMIDINA;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;HIPNOTICOS;155840622
TERGLY;ACETATO DE TERLIPRESSINA;14665928000108 - VOLPHARMA DISTRIBUIDORA DE PRODUTOS HOSPITALARES E FARMACÊUTICO;OUTROS PRODUTOS ANTI-HEMORRAGICOS;193570006
CRONOBE COMPLEX;CIANOCOBALAMINA + CLORIDRATO DE PIRIDOXINA + NITRATO DE TIAMINA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;PRODUTOS A BASE DE VIT B 12-ASSOCIACOES MEDICAMENTOSAS;109740354
VACINA SARAMPO, RUBÉOLA (ATENUADA);VACINA SARAMPO + RUBÉOLA (ATENUADA);33781055000135 - FUNDAÇÃO OSWALDO CRUZ;VACINAS;110630160
ADVIPRO;DICLOFENACO DIETILAMÔNIO + DICLOFENACO POTÁSSICO;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;ANTINFLAMATORIOS;101070356
CORISTINA D SOLUÇÃO;CLORIDRATO DE FENILEFRINA + MALEATO DE CARBINOXAMINA + PARACETAMOL;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE;178170925
CRONOBE COMPLEX IM;CIANOCOBALAMINA + CLORIDRATO DE PIRIDOXINA + CLORIDRATO DE TIAMINA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;PRODUTOS A BASE DE VIT B 12-ASSOCIACOES MEDICAMENTOSAS;109740357
DEGEN;COLECALCIFEROL;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANALOGO SINTETICO DA VITAMINA D;109740356
DENPRYX;CLORIDRATO DE VALACICLOVIR;33349473000158 - FARMOQUÍMICA S/A;ANTIVIROTICOS;103900224
FIGMED;SILYBUM MARIANUM (L.) GAERTN;02814497000107 - CIMED INDUSTRIA S.A;COLAGOGOS, COLERETICOS E HEPATOPROTETORES + FITOTERAPICO SIMPLES;143810281
LUFTALAX;SENNA ALEXANDRINA MILL.;78950011000120 - HERBARIUM LABORATORIO BOTANICO LTDA;FITOTERAPICO SIMPLES + LAXANTES;118600102
MILDÊ;COLECALCIFEROL;33145194000172 - LABORATÓRIO GROSS S. A.;VITAMINA D E ANÁLOGOS;104440021
RALXFEM;CLORIDRATO DE RALOXIFENO;53359824000119 - BLANVER FARMOQUIMICA E FARMACÊUTICA S.A.;SUPRESSORES DA REABSORCAO OSSEA;115240016
ROSUNEO;ROSUVASTATINA CÁLCICA;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ANTILIPEMICOS;155840624
XAKILIS;APIXABANA;57507378000365 - EMS S/A;AGENTES ANTITROMBÓTICOS;102351401
pitavastatina cálcica;PITAVASTATINA CÁLCICA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANTILIPEMICOS;109740355
SCAFLOGIN GOTAS;NIMESULIDA;17115437000173 - LABORATÓRIO GLOBO SA;ANTINFLAMATORIOS;105350226
ELOVIE;BEVACIZUMABE;61230314000175 - LIBBS FARMACÊUTICA LTDA;AGENTES ANTINEOPLÁSICOS;100330214
CODEX;FOSFATO DE CODEÍNA HEMI-HIDRATADO + PARACETAMOL;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ANALGESICOS NARCOTICOS;104971492
