NOME_PRODUTO;PRINCIPIO_ATIVO;EMPRESA;CLASSE_TERAPEUTICA;NUMERO_REGISTRO
NIFEDIPINO;;43521129000158 - LABORATÓRIO KINDER LTDA;ANTI-HIPERTENSIVOS;109680068
NIFEDIPRESS;NIFEDIPINO;17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;ANTIANGINOSOS E VASODILATADORES;109170034
NIFLAG;NIMESULIDA;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ANTINFLAMATORIOS;126750356
NIKI;DROSPIRENONA + ETINILESTRADIOL;00923140000131 - EMS SIGMA PHARMA LTDA;ANTICONCEPCIONAIS;135690671
NILCLAMIDA;GLIBENCLAMIDA;18324343000177 - BELFAR LTDA;ANTIDIABETICOS;105710090
NILPERIDOL;CITRATO DE FENTANILA + DROPERIDOL;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ANALGESICOS NARCOTICOS;102980302
NIMBIUM;BESILATO DE CISATRACÚRIO;02433631000120 - ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA;BLOQUEADOR NEUROMUSCULAR;137640169
NIMEGON;FOSFATO DE SITAGLIPTINA MONOIDRATADO;03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.;HIPOGLICEMIANTE ORAL;101710205
NIMEGON MET;CLORIDRATO DE METFORMINA + FOSFATO DE SITAGLIPTINA MONOIDRATADO;03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.;ANTIDIABETICOS;101710203
NIMELIT;NIMESULIDA;30222814000131 - VITAMEDIC INDUSTRIA FARMACEUTICA LTDA;ANTINFLAMATORIOS;103920073
NIMENRIX;POLISSACARÍDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO A CONJUGADO A PROTEÍNA CARREADORA TOXOIDE TETÂNICO + POLISSACARÍDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO C CONJUGADO A PROTEÍNA CARREADORA TOXOIDE TETÂNICO + POLISSACARÍDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO W CONJUGADO A PROTEÍNA CARREADORA TOXOIDE TETÂNICO + POLISSACARÍDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO Y;46070868003699 - LABORATÓRIOS PFIZER LTDA;VACINAS;102160243
NIMESILAM;NIMESULIDA;00923140000131 - EMS SIGMA PHARMA LTDA;ANTINFLAMATORIOS;135690698
NIMESULIDA;NIMESULIDA;57507378000365 - EMS S/A;ANTINFLAMATORIOS;102350533
NIMESULIX;NIMESULIDA;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTINFLAMATORIOS;103700264
NIMSY;NIMESULIDA;09545589000188 - MABRA FARMACEUTICA LTDA;AGENTES ANTI-INFLAMATÓRIOS;177940047
NINLARO;CITRATO DE IXAZOMIBE;60397775000174 - TAKEDA PHARMA LTDA.;OUTROS AGENTES ANTINEOPLÁSICOS;106390278
NIQUITIN;NICOTINA;01233103000164 - MAPPEL INDÚSTRIA DE EMBALAGENS S.A.;ANTITABAGICO;134800106
NISOFLAN;NIMESULIDA;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ANTINFLAMATORIOS;154230013
NISTAMAX;NISTATINA;02456955000183 - NATULAB LABORATÓRIO S.A;ANTIMICOTICO;138410028
NISTATINA;NISTATINA;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTIMICOTICO;103700305
NISTATINA + OXIDO DE ZINCO;NISTATINA + ÓXIDO DE ZINCO;17115437000173 - LABORATÓRIO GLOBO SA;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;105350158
NISTATINA + ÓXIDO DE ZINCO;NISTATINA + OXIDO DE ZINCO;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ANTIMICOTICOS PARA USO TOPICO;126750084
NISTRAZIN;NISTATINA;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;ANTIMICOTICO;154230091
NISUFAR;NIMESULIDA;83874628000143 - LABORATÓRIO FARMACÊUTICO ELOFAR LTDA;ANTINFLAMATORIOS;103850100
NISULID;NIMESULIDA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTINFLAMATORIOS;105730301
NITAZOXANIDA;NITAZOXANIDA;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANTIPARASITARIOS;183260280
NITES;FUROATO DE MOMETASONA + FUROATO DE MOMETASONA MONOIDRATADO;45987013000134 - ORGANON FARMACÊUTICA LTDA.;PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA;100290193
NITIKABS;NITISINONA;07453785000369 - PHARMEDIC PHARMACEUTICALS, IMPORTACAO, EXPORTACAO, DISTRIBUICAO;NITISINONA;175360002
NITRAPAN;NITRAZEPAM;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ANSIOLITICOS SIMPLES;102980243
NITRATO DE BUTOCONAZOL;NITRATO DE BUTOCONAZOL;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ANTI-FUNGICOS;155840499
NITRATO DE FENTICONAZOL;NITRATO DE FENTICONAZOL;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ANTIMICOTICOS PARA USO TOPICO;100431128
NITRATO DE ISOCONAZOL;NITRATO DE ISOCONAZOL;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ANTIMICOTICOS PARA USO TOPICO;102980282
NITRATO DE MICONAZOL;NITRATO DE MICONAZOL;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANTIMICOTICOS PARA USO TOPICO;103700296
NITRATO DE OXICONAZOL;NITRATO DE OXICONAZOL;73856593000166 - PRATI DONADUZZI & CIA LTDA;ANTIMICOTICOS PARA USO TOPICO;125680116
NITRAZEPAM (PORT 344/98 LISTA B1);NITRAZEPAM;45992062000165 - GERMED FARMACEUTICA LTDA;ANSIOLITICOS SIMPLES;105830362
NITRENCORD;NITRENDIPINO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTI-HIPERTENSIVOS;105730563
NITRENDIPINO;NITRENDIPINO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTI-HIPERTENSIVOS SIMPLES;105730549
NITROFEN;NITROFURANTOÍNA;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;NITROFURANICOS;103700443
NITROFURANTOINA;NITROFURANTOÍNA;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;NITROFURANICOS;103700579
NITROP;NITROPRUSSETO DE SÓDIO;17174657000178 - HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMÁCIA LTDA;ANTI-HIPERTENSIVOS SIMPLES;103870012
NITROPRUS;NITROPRUSSETO DE SÓDIO DI-HIDRATADO;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;VASODILATADORES;102980218
NIULIVA;IMUNOGLOBULINA HUMANA ANTI-HEPATITE B;02513899000171 - GRIFOLS BRASIL LTDA;IMUNOGLOBULINAS;136410010
NIXE;RIVAROXABANA;33349473000158 - FARMOQUÍMICA S/A;AGENTES ANTITROMBÓTICOS;103900223
NIZORAL;CETOCONAZOL;51780468000187 - JANSSEN-CILAG FARMACÊUTICA LTDA;ANTIMICOTICO;112360016
NIZORETIC;CETOCONAZOL;43521129000158 - LABORATÓRIO KINDER LTDA;ANTI-FUNGICOS;109680063
NIZUIL GEL;NIMESULIDA;92265552000140 - MULTILAB INDÚSTRIA E COMÉRCIO DE PRODUTOS FARMACÊUTICOS LTDA;ANTINFLAMATORIOS;118190069
NOAZY;LETROZOL;08157293000127 - NATCOFARMA DO BRASIL LTDA;AGENTES ANTINEOPLÁSICOS;182610005
NOCICLIN;ETINILESTRADIOL + LEVONORGESTREL;57507378000365 - EMS S/A;ANTICONCEPCIONAIS;102350484
NOCON;LAMOTRIGINA;43312503000105 - SUPERA FARMA LABORATÓRIOS S.A;ANTICONVULSIVANTES;103720255
NOCTAL;ESTAZOLAM;56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA;ANSIOLITICOS SIMPLES;105530045
NOCTIDEN;HEMITARTARATO DE ZOLPIDEM;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;HIPNOTICOS;109740129
NOEX;BUDESONIDA MICRONIZADA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM.;100430036
NOFEBRIN;DIPIRONA;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;ANALGESICOS NAO NARCOTICOS;167730548
NOGRIPE;CAFEÍNA + DIPIRONA + MALEATO DE CLORFENAMINA;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;PRODUTOS PARA TERAPIA SINTOMATICA DA GRIPE;103700345
NOITYL;BROMIDRATO DE DEXTROMETORFANO + SUCCINATO DE DOXILAMINA;59476770000158 - PROCTER & GAMBLE DO BRASIL LTDA;ANTITUSSIGENOS-ASSOCIACOES MEDICAMENTOSAS;121420013
NOLAPROST;LATANOPROSTA;05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA;PROSTAGLANDINAS;167730499
NOLIPO;CLORIDRATO DE SIBUTRAMINA MONOIDRATADO;17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A;ANOREXICOS SIMPLES;103700519
NOLVADEX;CITRATO DE TAMOXIFENO;60318797000100 - ASTRAZENECA DO BRASIL LTDA;ANTINEOPLASICO;116180036
NOOTRON;PIRACETAM;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;NEUROPSICOESTIMULANTES;105730546
NOOTROPIL;PIRACETAM;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;NEUROPSICOESTIMULANTES;183260420
NOPASURE;CLORIDRATO DE LIDOCAINA;24633934000129 - CAMBER FARMACEUTICA LTDA;ANESTÉSICOS LOCAIS;165070013
NOPROSIL;CLORIDRATO DE METOCLOPRAMIDA MONOIDRATADO;01571702000198 - HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA;ANTIEMETICOS E ANTINAUSEANTES;103110166
NORADOP;CLORIDRATO DE BUPROPIONA;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ANTITABAGICO;126750318
NORADREM;HEMITARTARATO DE NOREPINEFRINA;19570720000110 - HIPOLABOR FARMACEUTICA LTDA;VASOCONSTRITORES E HIPERTENSORES;113430066
NORDETTE;ETINILESTRADIOL + LEVONORGESTREL MICRONIZADO;61072393000133 - WYETH INDÚSTRIA FARMACÊUTICA LTDA;ANTICONCEPCIONAIS;121100001
NORDITROPIN;SOMATROPINA;82277955000155 - NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;HORMONIO RECOMBINANTE DO CRESCIMENTO HUMANO;117660006
NOREGYNA;ENANTATO DE NORETISTERONA + VALERATO DE ESTRADIOL;17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA;ESTROGENOS ASSOCS A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;115600224
NORELBIN;VINORELBINA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ANTINEOPLASICO;100430650
NORESTIN;NORETISTERONA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANTICONCEPCIONAIS;109740101
NORETISTERONA;NORETISTERONA;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANTICONCEPCIONAIS;109740262
NORF;NORFLOXACINO;00923140000131 - EMS SIGMA PHARMA LTDA;ANTIBIOTICOS SISTEMICOS SIMPLES;135690695
NORFLOXACINO;NORFLOXACINO;73663650000190 - RANBAXY FARMACÊUTICA LTDA;ANTIBIOTICOS SISTEMICOS SIMPLES;123520065
NORFLOXACINO 400 MG;NORFLOXACINO;45992062000165 - GERMED FARMACEUTICA LTDA;ANTIBIOTICOS SISTEMICOS SIMPLES;105830309
NORIDERM;CETOCONAZOL;57507378000365 - EMS S/A;ANTIMICOTICO;102351303
NORIPURUM;FERRIPOLIMALTOSE;60397775000174 - TAKEDA PHARMA LTDA.;ANTIANEMICOS SIMPLES;106390099
NORIPURUM EV;SACARATO DE HIDRÓXIDO FÉRRICO;60397775000174 - TAKEDA PHARMA LTDA.;ANTIANEMICOS SIMPLES;106390255
NORIPURUM FÓLICO;FERRIPOLIMALTOSE + ÁCIDO FÓLICO;60397775000174 - TAKEDA PHARMA LTDA.;ANTIANEMICOS A BASE DE FERRO - ASSOCIACOES MEDICAMENTOSAS;106390131
NORMACICLO;VITEX AGNUS-CASTUS L.;01858973000129 - AIRELA INDÚSTRIA FARMACÊUTICA LTDA.;FITOTERAPICO SIMPLES + OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA;144930039
NORMASTIG;METILSULFATO DE NEOSTIGMINA;60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;ANTIMIASTENICOS E DESCURARIZANTES;104971406
NORPATCH;BUPRENORFINA;15127898000130 - MUNDIPHARMA BRASIL PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA;ANALGESICOS NARCOTICOS;191980011
NORTISORO;CLORIDRATO DE NAFAZOLINA;05127216000136 - NORTIS FARMACEUTICA LTDA EPP;DESCONGESTIONANTES NASAIS TOPICOS;157400003
NORTLID;NIMESULIDA;05127216000136 - NORTIS FARMACEUTICA LTDA EPP;ANTINFLAMATORIOS;157400001
NORVASC;BESILATO DE ANLODIPINO;11643096000122 - MYLAN LABORATORIOS LTDA;ANTI-HIPERTENSIVOS SIMPLES + ANTIANGINOSOS E VASODILATADORES;188300080
NORVIR;RITONAVIR;15800545000150 - ABBVIE FARMACÊUTICA LTDA.;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);198600009
NORXACIN;NORFLOXACINO;17115437000173 - LABORATÓRIO GLOBO SA;ANTIBIOTICOS SISTEMICOS SIMPLES;105350097
NOSINT;BESILATO DE CISATRACÚRIO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;BLOQUEADOR NEUROMUSCULAR;105730711
NOSTIL;OFLOXACINO;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;102980492
NOTUSS TSS;DROPROPIZINA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTITUSSIGENOS SIMPLES;105730449
NOURIN;CLORIDRATO DE OXIBUTININA;43312503000105 - SUPERA FARMA LABORATÓRIOS S.A;ANTIESPASMODICOS;103720286
NOVABUPI;CLORIDRATO DE LEVOBUPIVACAÍNA + HEMITARTARATO DE EPINEFRINA;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ANESTESICOS LOCAIS;102980160
NOVABUPI (SEM VASOCONSTRITOR);CLORIDRATO DE LEVOBUPIVACAÍNA;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ANESTESICOS LOCAIS;102980315
NOVACORT;CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;105730012
NOVALFEM;IBUPROFENO;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANALGESICOS NAO NARCOTICOS;183260434
NOVALGINA;DIPIRONA MONOIDRATADA;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANALGESICOS NAO NARCOTICOS;183260351
NOVAMICIN;CLORIDRATO DE VANCOMICINA;49324221000104 - FRESENIUS KABI BRASIL LTDA;ANTIBIOTICOS SISTEMICOS SIMPLES;100410188
NOVAMOX;AMOXICILINA + CLAVULANATO DE POTÁSSIO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTIBIOTICOS SISTEMICOS-ASSOCIACOES MEDICAMENTOSAS;105730210
NOVANLO;BESILATO DE LEVANLODIPINO;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;ANTI-HIPERTENSIVOS SIMPLES;109740219
NOVANOITE;PASSIFLORA INCARNATA L.;10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.;ANSIOLITICOS SIMPLES;183260481
NOVASOPT;CLORIDRATO DE DORZOLAMIDA + MALEATO DE TIMOLOL;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ANTIGLAUCOMATOSOS;126750264
NOVASUTIN;ANFOTERICINA B + CLORIDRATO DE TETRACICLINA;58430828000160 - BLAU FARMACÊUTICA S.A.;ANTIMICOTICO;116370017
NOVO RINO;CLORIDRATO DE NAFAZOLINA;33173097000274 - CELLERA FARMACÊUTICA S.A.;DESCONGESTIONANTES NASAIS TOPICOS;104400183
NOVOCILIN;AMOXICILINA TRI-HIDRATADA + AMOXICILINA TRIHIDRATADA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTIBIOTICOS SISTEMICOS SIMPLES;105730076
NOVOFER;FERROCARBONILA;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTIANEMICOS SIMPLES;105730374
NOVOFER PED;GLICINATO FÉRRICO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTIANEMICOS SIMPLES;105730375
NOVOLIN R;INSULINA HUMANA;82277955000155 - NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;ANTIDIABETICOS;117660003
NOVOMIX 30;INSULINA ASPARTE;82277955000155 - NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;ANTIDIABETICOS;117660017
NOVOPHOS;GLICEROFOSFATO DE SÓDIO;05155425000193 - CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA;NUTRIENTES PARENTERAIS;164000014
NOVOPRAZOL;OMEPRAZOL;17115437000173 - LABORATÓRIO GLOBO SA;ANTIULCEROSOS;105350178
NOVORAPID;INSULINA ASPARTE;82277955000155 - NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;ANTIDIABETICOS;117660016
NOVOSIL;METOCLOPRAMIDA;19570720000110 - HIPOLABOR FARMACEUTICA LTDA;ANTIEMETICOS E ANTINAUSEANTES;113430052
NOVOSORO H;CLORETO DE SÓDIO;17115437000173 - LABORATÓRIO GLOBO SA;PRODUTO PARA O APARELHO RESPIRATORIO;105350144
NOVOSORO NF;CLORIDRATO DE NAFAZOLINA;17115437000173 - LABORATÓRIO GLOBO SA;DESCONGESTIONANTES NASAIS TOPICOS;105350152
NOVOTRAM;CLORIDRATO DE TRAMADOL;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ANALGESICOS NARCOTICOS;178170843
NOVOTRAM PAR;CLORIDRATO DE TRAMADOL + PARACETAMOL;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ANALGESICOS NARCOTICOS;178170898
NOVRALFLEX;CAFEÍNA + CITRATO DE ORFENADRINA + DIPIRONA;17875154000120 - MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;RELAXANTES MUSCULARES CENTRAIS-ASSOCIACOES MEDICAMENTOSAS;109170078
NOXAFIL;POSACONAZOL;03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.;ANTIMICOTICOS SISTEMICOS;101710196
NPLATE;ROMIPLOSTIM;18774815000193 - AMGEN BIOTECNOLOGIA DO BRASIL LTDA.;ANTI-HEMORRAGICOS;102440003
NQ HERA;HEDERA HELIX L.;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;EXPECTORANTES + FITOTERAPICO SIMPLES;126750391
NQUÍASE;SECNIDAZOL;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS;126750386
NQZIN BABY;NISTATINA + OXIDO DE ZINCO;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ANTIMICOTICOS PARA USO TOPICO;126750360
NUANCE;DROSPIRENONA + ESTRADIOL HEMI-HIDRATADO;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;ESTROGENOS ASSOCS A OUTROS FARMACOS EXCLUSIVE ANDROGENOS;100431338
NUBAIN;CLORIDRATO DE NALBUFINA;44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.;ANALGESICOS NARCOTICOS;102980284
NUBEQA;DAROLUTAMIDA;18459628000115 - BAYER S.A.;ANTIANDRÓGENOS;170560120
NUBLAXON;RIVAROXABANA;18459628000115 - BAYER S.A.;ANTITROMBOTICO;170560125
NUCALA;MEPOLIZUMABE;33247743000110 - GLAXOSMITHKLINE BRASIL LTDA;OUTROS MEDICAMENTOS ANTIASMATICOS;101070335
NUFIG;SILYBUM MARIANUM (L.) GAERTN;03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A;HEPATOPROTETORES E LIPOTROPICOS;154230309
NUMETA PED;ACETATO DE MAGNÉSIO TETRAIDRATADO + ACETATO DE POTÁSSIO + ALANINA + ARGININA + CISTEÍNA + CLORETO DE SÓDIO + CLORIDRATO DE ORNITINA + FENILALANINA + GLICEROFOSFATO DE SÓDIO + GLICINA + GLICOSE MONOIDRATADA + HISTIDINA + ISOLEUCINA + LEUCINA + LEVOVALINA + LISINA + PROLINA + SERINA + TAURINA + TIROSINA + TREONINA + TRIPTOFANO + CLORETO DE CÁLCIO DIIDRATADO;49351786000261 - BAXTER HOSPITALAR LTDA;;106830186
NUROMOL;IBUPROFENO + PARACETAMOL;59557124000115 - RECKITT BENCKISER (BRASIL) LTDA;ANALGESICOS NAO NARCOTICOS;173900010
NUTRAPLUS;URÉIA;00317372000146 - GALDERMA BRASIL LTDA;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;129160024
NUTRAPLUS 20;URÉIA;00317372000146 - GALDERMA BRASIL LTDA;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;129160067
NUTRI B;CLORIDRATO DE PIRIDOXINA + CLORIDRATO DE TIAMINA + NICOTINAMIDA + PANTOTENATO DE CALCIO + FOSFATO SÓDICO DE RIBOFLAVINA;02456955000183 - NATULAB LABORATÓRIO S.A;POLIVITAMINICOS SEM MINERAIS;138410064
NUTRIFLEX LIPID;ACETATO DE MAGNÉSIO TETRAIDRATADO + ACETATO DE POTÁSSIO + ACETATO DE SÓDIO TRIIDRATADO + ACETATO DE ZINCO + ALANINA + ARGININA + CLORETO DE SÓDIO + CLORIDRATO DE HISTIDINA MONOIDRATADO + CLORIDRATO DE LISINA + FENILALANINA + FOSFATO DIIDROGENADO DE SÓDIO + GLICOSE MONOHIDRATADA + GLICOSE MONOIDRATADA + HIDROXIDO DE SODIO + HIDRÓXIDO DE SÓDIO + ISOLEUCINA + LEUCI;31673254000102 - LABORATÓRIOS B. BRAUN S/A;NUTRIENTES PARENTERAIS;100850124
NUTRIFLEX PLUS;ACETATO DE MAGNÉSIO TETRAIDRATADO + ACETATO DE SÓDIO TRIHIDRATADO + ALANINA + ARGININA MONOGLUTAMATO + CLORIDRATO DE HISTIDINA MONOIDRATADO + CLORIDRATO DE LISINA + FENILALANINA + FOSFATO DIIDROGENADO DE SÓDIO + GLICINA + GLICOSE MONOHIDRATADA + HIDRÓXIDO DE POTÁSSIO + HIDRÓXIDO DE SÓDIO + ISOLEUCINA + LEUCINA + LEVOVALINA + PROLINA + SERINA + TREONINA + TRIPT;31673254000102 - LABORATÓRIOS B. BRAUN S/A;NUTRIENTES PARENTERAIS;100850109
NUVARING;ETINILESTRADIOL + ETONOGESTREL;45987013000134 - ORGANON FARMACÊUTICA LTDA.;ANTICONCEPCIONAIS;100290213
NUVIGIL;ARMODAFINILA;05333542000108 - TEVA FARMACÊUTICA LTDA.;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;155730053
NUX VOMICA HOMACCORD;BRYONIA CRETICA L. + CITRULLUS COLOCYNTHIS + CITRULLUS COLOCYNTHIS SCHRAD. + LYCOPODIUM CLAVATUM L. + STRYCHNOS NUX-VOMICA L. + ÁGUA PARA INJETÁVEIS;05994539000127 - HEEL DO BRASIL BIOMÉDICA LTDA;MEDICAMENTOS DINAMIZADOS COMPOSTOS;161980003
NYOLOL COLIRIO;;56994502000130 - NOVARTIS BIOCIENCIAS S.A;ANTIGLAUCOMATOSOS;100680184
NYPRAM;BROMIDRATO DE CITALOPRAM;73856593000166 - PRATI DONADUZZI & CIA LTDA;ANTIDEPRESSIVOS;125680303
NYTEB;CLORIDRATO DE NEBIVOLOL;42457796000156 - DIFFUCAP - CHEMOBRÁS QUÍMICA E FARMACÊUTICA LTDA;ANTI-HIPERTENSIVOS;104300045
Nabota;TOXINA BOTULÍNICA A;07591326000180 - MOKSHA8 BRASIL INDUSTRIA E COMERCIO DE MEDICAMENTOS LTDA;AGENTE PARALISANTE NEUROMUSCULAR;164250006
Naglazyme;GALSULFASE;08002360000134 - BIOMARIN BRASIL FARMACÊUTICA LTDA;ENZIMA PARA REPOSIÇAO;173330001
Naproxeno sódico;NAPROXENO SÓDICO;05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A;ANTINFLAMATORIOS ANTIREUMATICOS;155840161
Naucloz;DICLORIDRATO DE MECLOZINA MONOIDRATADO;60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A;ANTIEMÉTICOS E ANTINAUSEANTES;105730538
Nebic;CLORIDRATO DE NEBIVOLOL;72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A;ANTI-HIPERTENSIVOS;126750382
Neo B;CIANOCOBALAMINA + CLORIDRATO DE PIRIDOXINA + NITRATO DE TIAMINA;61190096000192 - EUROFARMA LABORATÓRIOS S.A.;PRODUTOS A BASE DE VIT B 12-ASSOCIACOES MEDICAMENTOSAS;100431326
Nesina Met;CLORIDRATO DE METFORMINA + BENZOATO DE ALOGLIPTINA;61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.;ANTIDIABETICOS;178170910
Nivux;NIMESULIDA + PANTOPRAZOL SÓDICO SESQUI-HIDRATADO;57507378000365 - EMS S/A;ANTINFLAMATORIOS;102351266
Novolin N;INSULINA HUMANA;82277955000155 - NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;ANTIDIABETICOS;117660004
Novoseven;ALFAEPTACOGUE ATIVADO;82277955000155 - NOVO NORDISK FARMACÊUTICA DO BRASIL LTDA;FIBRINOLITICOS E PROTEOLITICOS;117660012
Nuit flash;HEMITARTARATO DE ZOLPIDEM;49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA;HIPNOTICOS;109740290
Numeta Neo;ACETATO DE MAGNÉSIO TETRAIDRATADO + ACETATO DE POTÁSSIO + ALANINA + ARGININA + CISTEÍNA + CLORIDRATO DE ORNITINA + FENILALANINA + GLICEROFOSFATO DE SÓDIO + GLICINA + GLICOSE MONOIDRATADA + HISTIDINA + ISOLEUCINA + LEUCINA + LEVOVALINA + LISINA + PROLINA + SERINA + TAURINA + TIROSINA + TREONINA + TRIPTOFANO + CLORETO DE CÁLCIO DIIDRATADO + LEVOMETIONINA +;49351786000261 - BAXTER HOSPITALAR LTDA;;106830185
Nuwiq;ALFASIMOCTOCOGUE;02552927000160 - OCTAPHARMA BRASIL LTDA;ANTI-HEMORRAGICOS;139710015
